Date,Open,High,Low,Close,Adj Close,Volume
2018-10-18,27.0,27.0,27.0,27.0,22.063722610473633,200
2018-10-19,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-22,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-23,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-24,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-25,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-26,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-29,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-30,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-10-31,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-01,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-02,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-05,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-06,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-07,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-08,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-09,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-12,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-13,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-14,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-15,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-16,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-19,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-20,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-21,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-23,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-26,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-27,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-28,27.0,27.0,27.0,27.0,22.063722610473633,0
2018-11-29,23.209999084472656,23.209999084472656,23.209999084472656,23.209999084472656,18.96662712097168,400
2018-11-30,23.209999084472656,23.209999084472656,23.209999084472656,23.209999084472656,18.96662712097168,100
2018-12-03,23.209999084472656,23.209999084472656,23.209999084472656,23.209999084472656,18.96662712097168,0
2018-12-04,27.450000762939453,27.5,27.450000762939453,27.5,22.472307205200195,200
2018-12-06,27.5,27.5,27.5,27.5,22.472307205200195,100
2018-12-07,27.5,27.5,27.5,27.5,22.472307205200195,100
2018-12-10,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-11,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-12,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-13,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-14,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-17,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-18,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-19,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-20,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-21,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-24,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-26,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-27,27.5,27.5,27.5,27.5,22.472307205200195,0
2018-12-28,30.0,30.0,30.0,30.0,25.58128547668457,100
2018-12-31,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-02,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-03,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-04,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-07,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-08,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-09,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-10,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-11,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-14,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-15,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-16,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-17,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-18,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-22,30.0,30.0,30.0,30.0,25.58128547668457,0
2019-01-23,29.5,29.5,27.0,27.0,23.02315902709961,200
2019-01-24,27.0,27.0,27.0,27.0,23.02315902709961,0
2019-01-25,27.0,27.0,27.0,27.0,23.02315902709961,0
2019-01-28,27.0,27.0,27.0,27.0,23.02315902709961,0
2019-01-29,29.5,29.5,29.5,29.5,25.154930114746094,100
2019-01-30,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-01-31,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-01,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-04,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-05,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-06,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-07,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-08,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-11,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-12,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-13,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-14,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-15,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-19,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-20,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-21,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-22,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-25,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-26,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-27,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-02-28,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-03-01,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-03-04,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-03-05,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-03-06,29.5,29.5,29.5,29.5,25.154930114746094,0
2019-03-07,25.520000457763672,25.520000457763672,25.100000381469727,25.100000381469727,21.403011322021484,400
2019-03-08,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,0
2019-03-11,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,0
2019-03-12,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,0
2019-03-13,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,0
2019-03-14,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,100
2019-03-15,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,0
2019-03-18,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,0
2019-03-19,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,21.403011322021484,0
