Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,9.75,9.75,9.725000381469727,9.729999542236328,9.729999542236328,1165163
2020-10-09,9.734999656677246,9.739999771118164,9.729999542236328,9.739999771118164,9.739999771118164,311500
2020-10-12,9.729999542236328,9.739999771118164,9.729999542236328,9.729999542236328,9.729999542236328,129984
2020-10-13,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,9.729999542236328,1525825
2020-10-14,9.753299713134766,9.765000343322754,9.734999656677246,9.734999656677246,9.734999656677246,1007407
2020-10-15,9.748499870300293,9.748499870300293,9.729999542236328,9.729999542236328,9.729999542236328,1469
2020-10-16,9.729999542236328,9.729999542236328,9.710000038146973,9.710000038146973,9.710000038146973,4159
2020-10-19,9.729999542236328,9.729999542236328,9.680999755859375,9.720000267028809,9.720000267028809,25077
2020-10-20,9.710000038146973,9.739999771118164,9.710000038146973,9.739999771118164,9.739999771118164,5886
2020-10-21,9.720000267028809,9.729999542236328,9.699799537658691,9.699799537658691,9.699799537658691,52306
2020-10-22,9.699799537658691,9.699799537658691,9.699799537658691,9.699799537658691,9.699799537658691,0
2020-10-23,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,100
2020-10-26,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0
2020-10-27,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0
2020-10-28,9.670000076293945,9.770000457763672,9.640000343322754,9.739999771118164,9.739999771118164,21024
2020-10-29,9.649999618530273,9.649999618530273,9.640000343322754,9.640000343322754,9.640000343322754,374
2020-10-30,9.640000343322754,9.640000343322754,9.640000343322754,9.640000343322754,9.640000343322754,0
2020-11-02,9.640000343322754,9.640000343322754,9.640000343322754,9.640000343322754,9.640000343322754,0
2020-11-03,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,21829
2020-11-04,9.739999771118164,9.739999771118164,9.739999771118164,9.739999771118164,9.739999771118164,213
2020-11-05,9.75,9.758500099182129,9.729999542236328,9.75,9.75,172105
2020-11-06,9.75,9.75,9.710000038146973,9.75,9.75,12481
2020-11-09,9.770000457763672,9.770000457763672,9.720000267028809,9.760000228881836,9.760000228881836,237252
2020-11-10,9.75,9.770000457763672,9.729999542236328,9.75,9.75,69019
2020-11-11,9.760000228881836,9.770000457763672,9.760000228881836,9.770000457763672,9.770000457763672,500800
2020-11-12,9.75,9.770000457763672,9.75,9.770000457763672,9.770000457763672,257971
2020-11-13,9.770000457763672,9.770000457763672,9.739999771118164,9.770000457763672,9.770000457763672,169297
2020-11-16,9.75,9.770000457763672,9.744999885559082,9.760000228881836,9.760000228881836,959139
2020-11-17,9.75,9.770000457763672,9.75,9.770000457763672,9.770000457763672,27201
2020-11-18,9.755000114440918,9.760000228881836,9.720000267028809,9.760000228881836,9.760000228881836,26953
2020-11-19,9.770000457763672,9.770000457763672,9.720000267028809,9.760000228881836,9.760000228881836,14044
2020-11-20,9.760000228881836,9.770000457763672,9.699999809265137,9.739999771118164,9.739999771118164,55596
2020-11-23,9.75,9.800000190734863,9.739999771118164,9.789999961853027,9.789999961853027,162873
2020-11-24,9.800000190734863,9.800000190734863,9.770000457763672,9.800000190734863,9.800000190734863,5284
2020-11-25,9.800000190734863,9.829999923706055,9.770000457763672,9.829999923706055,9.829999923706055,353025
2020-11-27,9.829999923706055,9.850000381469727,9.829999923706055,9.850000381469727,9.850000381469727,12195
